source	edge_type	destination
category type	typeof	uriorcurie
iri type	typeof	uriorcurie
label type	typeof	string
predicate type	typeof	uriorcurie
narrative text	typeof	string
symbol type	typeof	string
UO:0000105	typeof	string
frequency value	typeof	string
UO:0000187	typeof	double
percentage frequency value	typeof	double
UO:0010006	typeof	double
ratio	typeof	double
quotient	typeof	double
UO:0000000	exact_mappings	qud:Unit
unit	exact_mappings	qud:Unit
UO:0000000	typeof	string
unit	typeof	string
time type	typeof	time
biological sequence	typeof	string
has attribute	in_subset	samples
has attribute	close_mappings	OBI:0001927
has attribute	exact_mappings	SIO:000008
has attribute	narrow_mappings	OBAN:association_has_subject_property
has attribute	narrow_mappings	OBAN:association_has_object_property
has attribute	narrow_mappings	CPT:has_possibly_included_panel_element
has attribute	narrow_mappings	DRUGBANK:category
has attribute	narrow_mappings	EFO:is_executed_in
has attribute	narrow_mappings	HANCESTRO:0301
has attribute	narrow_mappings	LOINC:has_action_guidance
has attribute	narrow_mappings	LOINC:has_adjustment
has attribute	narrow_mappings	LOINC:has_aggregation_view
has attribute	narrow_mappings	LOINC:has_approach_guidance
has attribute	narrow_mappings	LOINC:has_divisor
has attribute	narrow_mappings	LOINC:has_exam
has attribute	narrow_mappings	LOINC:has_method
has attribute	narrow_mappings	LOINC:has_modality_subtype
has attribute	narrow_mappings	LOINC:has_object_guidance
has attribute	narrow_mappings	LOINC:has_scale
has attribute	narrow_mappings	LOINC:has_suffix
has attribute	narrow_mappings	LOINC:has_time_aspect
has attribute	narrow_mappings	LOINC:has_time_modifier
has attribute	narrow_mappings	LOINC:has_timing_of
has attribute	narrow_mappings	NCIT:R88
has attribute	narrow_mappings	NCIT:eo_disease_has_property_or_attribute
has attribute	narrow_mappings	NCIT:has_data_element
has attribute	narrow_mappings	NCIT:has_pharmaceutical_administration_method
has attribute	narrow_mappings	NCIT:has_pharmaceutical_basic_dose_form
has attribute	narrow_mappings	NCIT:has_pharmaceutical_intended_site
has attribute	narrow_mappings	NCIT:has_pharmaceutical_release_characteristics
has attribute	narrow_mappings	NCIT:has_pharmaceutical_state_of_matter
has attribute	narrow_mappings	NCIT:has_pharmaceutical_transformation
has attribute	narrow_mappings	NCIT:is_qualified_by
has attribute	narrow_mappings	NCIT:qualifier_applies_to
has attribute	narrow_mappings	NCIT:role_has_domain
has attribute	narrow_mappings	NCIT:role_has_range
has attribute	narrow_mappings	INO:0000154
has attribute	narrow_mappings	HANCESTRO:0308
has attribute	narrow_mappings	OMIM:has_inheritance_type
has attribute	narrow_mappings	orphanet:C016
has attribute	narrow_mappings	orphanet:C017
has attribute	narrow_mappings	RO:0000053
has attribute	narrow_mappings	RO:0000086
has attribute	narrow_mappings	RO:0000087
has attribute	narrow_mappings	SNOMED:has_access
has attribute	narrow_mappings	SNOMED:has_clinical_course
has attribute	narrow_mappings	SNOMED:has_count_of_base_of_active_ingredient
has attribute	narrow_mappings	SNOMED:has_dose_form_administration_method
